id	Refractivity	Maximal projection area	Maximal projection radius	Length perpendicular to the max area	Minimal projection area	Minimal projection radius	Length perpendicular to the min area	molecular	molecular	molecular	molecular	molecular	molecular	molecular	molecular	Van der Waals surface area (3D)	Van der Waals surface area (3D)	Van der Waals surface area (3D)	Van der Waals surface area (3D)	ASA	ASA	ASA	ASA	ASA+	ASA+	ASA+	ASA+	ASA-	ASA-	ASA-	ASA-	ASA_H	ASA_H	ASA_H	ASA_H	ASA_P	ASA_P	ASA_P	ASA_P	acceptorcount	acceptorcount	acceptorcount	acceptorcount	donorcount	donorcount	donorcount	donorcount	Polar surface area	Polar surface area	Polar surface area	Polar surface area
1	22.73	33.25	4.47	5.18	19.49	2.74	8.71	9.06	9.74	9.74	9.74	9.32	9.18	9.18	9.18	152.32	162.05	162.05	162.05	245.19	240.84	240.84	240.84	175.86	197.61	197.61	197.61	69.33	43.22	43.22	43.22	220.15	142.53	142.53	142.53	25.04	98.31	98.31	98.31	2	0	0	0	2	2	2	2	52.04	55.28	55.28	55.28
2	38.01	46.29	5.18	6.04	28.19	3.27	10.23	14.87	15.15	15.15	15.15	14.86	14.79	14.79	14.79	264.85	268.93	268.93	268.93	371.14	359.13	359.13	359.13	275.21	274.77	274.77	274.77	95.94	84.36	84.36	84.36	358.20	344.22	344.22	344.22	12.94	14.91	14.91	14.91	2	1	1	1	0	1	1	1	6.48	7.68	7.68	7.68
3	30.59	41.84	5.35	5.13	22.86	3.09	10.46	12.42	13.12	13.12	13.12	12.69	12.55	12.55	12.55	203.81	213.33	213.33	213.33	294.37	301.97	301.97	301.97	261.77	249.60	249.60	249.60	32.60	52.36	52.36	52.36	261.77	195.93	195.93	195.93	32.60	106.04	106.04	106.04	3	1	1	1	3	3	3	3	64.07	67.31	67.31	67.31
4	34.29	44.95	4.57	5.53	27.70	3.76	9.13	13.92	14.23	14.23	14.23	14.12	14.05	14.05	14.05	224.80	227.88	227.88	227.88	291.97	281.72	281.72	281.72	238.46	238.49	238.49	238.49	53.51	43.23	43.23	43.23	278.67	254.68	254.68	254.68	13.31	27.05	27.05	27.05	2	1	1	1	2	2	2	2	24.06	28.64	28.64	28.64
5	45.75	56.66	6.46	6.19	28.29	3.29	12.84	19.00	19.51	19.51	19.27	18.55	18.41	18.41	18.48	316.09	321.23	321.23	318.85	421.31	390.94	390.94	406.25	327.38	311.46	311.46	319.73	93.93	79.48	79.48	86.52	408.85	360.99	360.99	384.92	12.47	29.95	29.95	21.33	2	0	0	1	2	2	2	2	24.06	33.22	33.22	28.64
6	60.55	79.02	6.50	5.93	48.11	6.07	12.82	25.24	25.81	25.81	25.81	24.09	23.94	23.94	23.94	406.84	415.96	415.96	415.96	495.83	474.95	474.95	474.95	372.39	374.44	374.44	374.44	123.44	100.50	100.50	100.50	480.85	427.66	427.66	427.66	14.98	47.29	47.29	47.29	2	0	0	0	1	2	2	2	29.26	32.08	32.08	32.08
7	22.29	32.01	3.94	5.26	20.85	3.11	7.70	8.94	9.58	9.58	9.26	9.32	9.18	9.18	9.25	150.33	160.16	160.16	155.48	230.49	217.92	217.92	223.77	187.33	185.05	185.05	186.28	43.16	32.86	32.86	37.48	210.60	141.36	141.36	175.87	19.89	76.56	76.56	47.90	2	0	0	1	2	2	2	2	52.04	55.28	55.28	53.66
8	35.53	43.94	4.37	5.39	29.99	3.82	8.31	14.26	14.64	14.64	14.64	14.45	14.37	14.37	14.37	228.07	233.01	233.01	233.01	255.01	252.66	252.66	252.66	203.32	204.37	204.37	204.37	51.69	48.29	48.29	48.29	247.57	214.70	214.70	214.70	7.44	37.96	37.96	37.96	1	0	0	0	1	1	1	1	26.02	27.64	27.64	27.64
9	35.23	44.44	4.59	5.07	26.29	3.39	8.97	13.40	13.65	13.65	13.65	13.59	13.53	13.53	13.53	218.24	222.17	222.17	222.17	282.43	269.08	269.08	269.08	239.81	235.15	235.15	235.15	42.62	33.94	33.94	33.94	228.00	213.70	213.70	213.70	54.43	55.38	55.38	55.38	3	2	2	2	1	2	2	2	32.50	33.70	33.70	33.70
10	17.13	24.01	3.25	5.40	19.82	2.89	5.85	6.86	7.17	7.17	7.17	7.06	6.99	6.99	6.99	113.27	117.61	117.61	117.61	212.22	205.42	205.42	205.42	156.12	189.17	189.17	189.17	56.10	16.25	16.25	16.25	198.25	155.41	155.41	155.41	13.97	50.01	50.01	50.01	1	0	0	0	1	1	1	1	26.02	27.64	27.64	27.64
11	37.40	45.09	4.40	3.64	23.79	4.03	8.77	12.02	12.36	12.36	12.02	12.00	12.24	12.24	12.00	165.90	170.35	170.35	165.90	265.50	258.69	258.69	265.50	181.86	205.50	205.50	181.86	83.63	53.19	53.19	83.63	91.05	105.74	105.74	91.05	174.45	152.95	152.95	174.45	5	4	4	5	3	4	4	3	103.84	105.09	105.09	103.84
12	27.38	38.03	5.12	5.33	21.31	2.99	9.98	11.07	11.75	11.75	11.75	11.17	11.03	11.03	11.03	183.01	192.61	192.61	192.61	276.57	272.87	272.87	272.87	201.32	230.32	230.32	230.32	75.25	42.55	42.55	42.55	251.73	175.02	175.02	175.02	24.84	97.85	97.85	97.85	2	0	0	0	2	2	2	2	52.04	55.28	55.28	55.28
13	38.69	48.66	5.31	5.69	28.28	3.33	10.49	15.42	16.06	16.06	16.06	15.64	15.51	15.51	15.51	245.37	252.84	252.84	252.84	303.98	293.92	293.92	293.92	279.23	268.17	268.17	268.17	24.74	25.75	25.75	25.75	279.23	219.14	219.14	219.14	24.74	74.78	74.78	74.78	3	1	1	1	2	2	2	2	41.29	47.49	47.49	47.49
14	28.39	39.94	5.22	5.02	21.00	2.88	10.29	11.68	12.02	12.02	12.02	11.50	11.42	11.42	11.42	199.26	204.00	204.00	204.00	307.98	305.83	305.83	305.83	222.76	228.04	228.04	228.04	85.22	77.79	77.79	77.79	295.56	257.12	257.12	257.12	12.42	48.71	48.71	48.71	1	0	0	0	1	1	1	1	26.02	27.64	27.64	27.64
15	35.49	45.30	4.82	5.45	27.67	3.57	9.47	13.96	14.27	14.27	14.27	14.12	14.05	14.05	14.05	231.12	233.80	233.80	233.80	301.26	290.11	290.11	290.11	256.24	251.40	251.40	251.40	45.02	38.70	38.70	38.70	287.72	263.07	263.07	263.07	13.54	27.03	27.03	27.03	2	1	1	1	1	1	1	1	15.27	19.85	19.85	19.85
16	27.94	38.06	4.54	5.26	22.37	3.12	9.07	10.95	11.57	11.30	11.30	11.17	11.03	11.09	11.09	192.95	202.37	197.89	197.89	289.90	275.35	289.49	289.49	227.82	229.29	220.88	220.88	62.07	46.05	68.62	68.62	271.02	218.87	234.19	234.19	18.87	56.48	55.30	55.30	2	0	1	1	1	2	1	1	29.26	32.08	30.88	30.88
17	29.93	38.43	4.01	5.54	25.33	3.41	7.85	11.36	11.66	11.66	11.66	11.75	11.69	11.69	11.69	183.60	186.16	186.16	186.16	245.09	233.38	233.38	233.38	219.78	214.32	214.32	214.32	25.31	19.06	19.06	19.06	186.72	162.36	162.36	162.36	58.37	71.02	71.02	71.02	3	2	2	2	2	2	2	2	41.29	45.87	45.87	45.87
18	34.29	45.21	4.74	5.83	25.44	3.30	9.36	13.95	14.23	14.23	14.23	14.12	14.05	14.05	14.05	224.82	227.46	227.46	227.46	292.56	277.72	277.72	277.72	237.72	232.85	232.85	232.85	54.84	44.87	44.87	44.87	279.43	253.94	253.94	253.94	13.13	23.79	23.79	23.79	2	1	1	1	2	2	2	2	24.06	28.64	28.64	28.64
19	27.42	38.41	5.15	5.17	17.89	2.61	10.28	11.15	11.76	11.76	11.45	11.17	11.03	11.03	11.09	195.11	200.79	200.79	197.91	325.86	299.61	299.61	312.41	245.60	248.16	248.16	242.28	80.27	51.44	51.44	70.12	303.98	253.81	253.81	278.50	21.88	45.80	45.80	33.91	2	0	0	1	2	2	2	2	24.06	33.22	33.22	28.64
20	30.74	39.29	4.10	5.46	26.15	3.44	8.15	11.97	12.28	12.28	12.28	12.27	12.20	12.20	12.20	200.69	203.08	203.08	203.08	274.04	261.22	261.22	261.22	237.73	231.51	231.51	231.51	36.31	29.71	29.71	29.71	259.00	232.86	232.86	232.86	15.04	28.36	28.36	28.36	2	1	1	1	1	1	1	1	15.27	19.85	19.85	19.85
21	38.01	46.29	5.18	6.04	28.19	3.27	10.23	14.87	15.15	15.15	15.15	14.86	14.79	14.79	14.79	264.85	268.93	268.93	268.93	371.14	359.13	359.13	359.13	275.21	274.77	274.77	274.77	95.94	84.36	84.36	84.36	358.20	344.22	344.22	344.22	12.94	14.91	14.91	14.91	2	1	1	1	0	1	1	1	6.48	7.68	7.68	7.68
22	38.01	46.29	5.18	6.04	28.19	3.27	10.23	14.87	15.15	15.15	15.15	14.86	14.79	14.79	14.79	264.85	268.93	268.93	268.93	371.14	359.13	359.13	359.13	275.21	274.77	274.77	274.77	95.94	84.36	84.36	84.36	358.20	344.22	344.22	344.22	12.94	14.91	14.91	14.91	2	1	1	1	0	1	1	1	6.48	7.68	7.68	7.68
23	27.38	38.03	5.12	5.33	21.31	2.99	9.98	11.07	11.75	11.75	11.75	11.17	11.03	11.03	11.03	183.01	192.61	192.61	192.61	276.57	272.87	272.87	272.87	201.32	230.32	230.32	230.32	75.25	42.55	42.55	42.55	251.73	175.02	175.02	175.02	24.84	97.85	97.85	97.85	2	0	0	0	2	2	2	2	52.04	55.28	55.28	55.28
24	27.42	38.41	5.15	5.17	17.89	2.61	10.28	11.15	11.76	11.76	11.45	11.17	11.03	11.03	11.09	195.11	200.79	200.79	197.91	325.86	299.61	299.61	312.41	245.60	248.16	248.16	242.28	80.27	51.44	51.44	70.12	303.98	253.81	253.81	278.50	21.88	45.80	45.80	33.91	2	0	0	1	2	2	2	2	24.06	33.22	33.22	28.64
25	30.74	39.29	4.10	5.46	26.15	3.44	8.15	11.97	12.28	12.28	12.28	12.27	12.20	12.20	12.20	200.69	203.08	203.08	203.08	274.04	261.22	261.22	261.22	237.73	231.51	231.51	231.51	36.31	29.71	29.71	29.71	259.00	232.86	232.86	232.86	15.04	28.36	28.36	28.36	2	1	1	1	1	1	1	1	15.27	19.85	19.85	19.85
26	40.32	54.93	6.99	5.55	25.01	3.34	13.71	16.71	17.68	17.68	17.68	16.38	16.17	16.17	16.17	265.00	277.21	277.21	277.21	369.68	354.64	354.64	354.64	268.60	294.73	294.73	294.73	101.08	59.91	59.91	59.91	337.41	238.27	238.27	238.27	32.27	116.36	116.36	116.36	3	0	0	0	3	3	3	3	64.07	71.89	71.89	71.89
